Zip Code,Median Income,Year
00918,26573.0,2013
00920,25463.0,2013
00921,18417.0,2013
00923,15959.0,2013
00924,19510.0,2013
00925,12847.0,2013
00926,35308.0,2013
00927,34572.0,2013
00934,82721.0,2013
00949,25514.0,2013
00952,18768.0,2013
00953,28488.0,2013
00956,22212.0,2013
00957,23736.0,2013
00959,26264.0,2013
00961,29931.0,2013
00962,16128.0,2013
00965,16139.0,2013
00966,52463.0,2013
00968,41936.0,2013
00969,50811.0,2013
00971,23241.0,2013
00976,30372.0,2013
00979,37906.0,2013
00982,26148.0,2013
00983,27125.0,2013
00985,25509.0,2013
00987,31546.0,2013
01001,58733.0,2013
01002,54422.0,2013
01005,68644.0,2013
01007,71875.0,2013
01008,71635.0,2013
01009,38644.0,2013
01010,81196.0,2013
01011,64891.0,2013
01012,58750.0,2013
01013,41273.0,2013
01020,51255.0,2013
01022,58938.0,2013
01026,52155.0,2013
01027,59963.0,2013
01028,80469.0,2013
01029,54330.0,2013
01030,71228.0,2013
01031,42404.0,2013
01032,61806.0,2013
01033,73816.0,2013
01034,77500.0,2013
01035,73250.0,2013
01036,81130.0,2013
01037,84444.0,2013
01038,61603.0,2013
01039,72188.0,2013
01040,31628.0,2013
01050,56184.0,2013
01053,64896.0,2013
01054,73000.0,2013
01056,61073.0,2013
01057,64747.0,2013
01060,52607.0,2013
01062,65756.0,2013
01068,85556.0,2013
01069,53417.0,2013
01070,63889.0,2013
01071,75363.0,2013
01072,66705.0,2013
01073,80000.0,2013
01075,61431.0,2013
01077,78476.0,2013
01079,34906.0,2013
01080,40559.0,2013
01081,56726.0,2013
01082,51717.0,2013
01083,39521.0,2013
01084,51667.0,2013
01085,59881.0,2013
01088,43234.0,2013
01089,54126.0,2013
01092,55370.0,2013
01093,83750.0,2013
01094,18241.0,2013
01095,86667.0,2013
01096,65365.0,2013
01097,42031.0,2013
01098,69079.0,2013
01103,14133.0,2013
01104,32273.0,2013
01105,18402.0,2013
01106,103472.0,2013
01107,21737.0,2013
01108,34064.0,2013
01109,33376.0,2013
01118,62283.0,2013
01119,46055.0,2013
01128,78864.0,2013
01129,61435.0,2013
01151,30043.0,2013
01201,42633.0,2013
01220,40443.0,2013
01222,75598.0,2013
01223,54904.0,2013
01224,90223.0,2013
01225,49788.0,2013
01226,51827.0,2013
01229,68125.0,2013
01230,51467.0,2013
01235,64420.0,2013
01236,51964.0,2013
01237,71932.0,2013
01238,59477.0,2013
01240,51464.0,2013
01242,55167.0,2013
01243,67411.0,2013
01244,29125.0,2013
01245,52500.0,2013
01247,41103.0,2013
01253,67917.0,2013
01254,95125.0,2013
01255,55917.0,2013
01256,56500.0,2013
01257,50543.0,2013
01258,56607.0,2013
01259,70074.0,2013
01260,74615.0,2013
01262,41648.0,2013
01264,70625.0,2013
01266,76953.0,2013
01267,72352.0,2013
01270,68456.0,2013
01301,48319.0,2013
01330,72560.0,2013
01331,50498.0,2013
01337,58875.0,2013
01338,69886.0,2013
01339,50536.0,2013
01340,49886.0,2013
01341,77500.0,2013
01342,99675.0,2013
01343,81806.0,2013
01344,57500.0,2013
01346,65000.0,2013
01347,31250.0,2013
01349,50714.0,2013
01350,36875.0,2013
01351,70799.0,2013
01354,74583.0,2013
01355,68929.0,2013
01360,60608.0,2013
01364,45758.0,2013
01366,76094.0,2013
01367,47279.0,2013
01368,60750.0,2013
01370,53516.0,2013
01373,64127.0,2013
01375,47000.0,2013
01376,39792.0,2013
01378,56094.0,2013
01379,48188.0,2013
01420,45363.0,2013
01430,83532.0,2013
01431,82778.0,2013
01432,57543.0,2013
01434,77396.0,2013
01436,69076.0,2013
01438,62422.0,2013
01440,49067.0,2013
01450,117127.0,2013
01451,136058.0,2013
01452,86979.0,2013
01453,58896.0,2013
01460,105455.0,2013
01462,76063.0,2013
01463,81193.0,2013
01464,65882.0,2013
01467,181810.0,2013
01468,62096.0,2013
01469,78985.0,2013
01473,83840.0,2013
01474,90521.0,2013
01475,58288.0,2013
01501,73612.0,2013
01503,95962.0,2013
01504,74294.0,2013
01505,97938.0,2013
01506,61800.0,2013
01507,93963.0,2013
01510,64723.0,2013
01515,66042.0,2013
01516,82831.0,2013
01518,61719.0,2013
01519,102300.0,2013
01520,96780.0,2013
01521,67684.0,2013
01522,93238.0,2013
01523,78283.0,2013
01524,68899.0,2013
01525,44857.0,2013
01527,71832.0,2013
01529,82083.0,2013
01531,82569.0,2013
01532,108415.0,2013
01534,85000.0,2013
01535,54439.0,2013
01536,76063.0,2013
01537,72607.0,2013
01540,68986.0,2013
01541,120607.0,2013
01542,74273.0,2013
01543,86482.0,2013
01545,92360.0,2013
01550,42471.0,2013
01560,81667.0,2013
01561,19637.0,2013
01562,60197.0,2013
01564,98872.0,2013
01566,82750.0,2013
01568,105208.0,2013
01569,86164.0,2013
01570,47885.0,2013
01571,70590.0,2013
01581,100905.0,2013
01583,72107.0,2013
01585,62667.0,2013
01588,62649.0,2013
01590,110658.0,2013
01602,62832.0,2013
01603,48183.0,2013
01604,49797.0,2013
01605,37705.0,2013
01606,66912.0,2013
01607,45152.0,2013
01608,19418.0,2013
01609,40660.0,2013
01610,30532.0,2013
01611,67179.0,2013
01612,106708.0,2013
01701,86994.0,2013
01702,53944.0,2013
01718,132981.0,2013
01719,101502.0,2013
01720,109578.0,2013
01721,93233.0,2013
01730,108818.0,2013
01731,75446.0,2013
01740,146029.0,2013
01741,160034.0,2013
01742,135217.0,2013
01745,57250.0,2013
01746,110323.0,2013
01747,89408.0,2013
01748,129578.0,2013
01749,71971.0,2013
01752,70304.0,2013
01754,77622.0,2013
01756,105389.0,2013
01757,66547.0,2013
01760,95328.0,2013
01770,153444.0,2013
01772,150129.0,2013
01773,149539.0,2013
01775,115714.0,2013
01776,170924.0,2013
01778,130022.0,2013
01801,75138.0,2013
01803,94272.0,2013
01810,112681.0,2013
01821,87996.0,2013
01824,104538.0,2013
01826,78169.0,2013
01827,119022.0,2013
01830,55255.0,2013
01832,57833.0,2013
01833,107775.0,2013
01834,97463.0,2013
01835,72228.0,2013
01840,18261.0,2013
01841,31214.0,2013
01843,42891.0,2013
01844,67556.0,2013
01845,96002.0,2013
01850,51538.0,2013
01851,51630.0,2013
01852,48951.0,2013
01854,42947.0,2013
01860,79423.0,2013
01862,85497.0,2013
01863,81160.0,2013
01864,110852.0,2013
01867,105524.0,2013
01876,90897.0,2013
01879,90987.0,2013
01880,84556.0,2013
01886,124464.0,2013
01887,99508.0,2013
01890,131000.0,2013
01901,23467.0,2013
01902,37275.0,2013
01904,80903.0,2013
01905,42490.0,2013
01906,76339.0,2013
01907,92399.0,2013
01908,66964.0,2013
01913,78486.0,2013
01915,70563.0,2013
01921,125833.0,2013
01922,109301.0,2013
01923,79478.0,2013
01929,74211.0,2013
01930,61449.0,2013
01938,77087.0,2013
01940,106239.0,2013
01944,115650.0,2013
01945,98399.0,2013
01949,104245.0,2013
01950,78638.0,2013
01951,81106.0,2013
01952,72131.0,2013
01960,64430.0,2013
01966,66402.0,2013
01969,83237.0,2013
01970,55698.0,2013
01982,105865.0,2013
01983,111696.0,2013
01984,127606.0,2013
01985,111652.0,2013
02019,80179.0,2013
02021,89900.0,2013
02025,117829.0,2013
02026,84704.0,2013
02030,187829.0,2013
02032,77955.0,2013
02035,91601.0,2013
02038,99194.0,2013
02043,106854.0,2013
02045,75551.0,2013
02048,93539.0,2013
02050,91764.0,2013
02052,133931.0,2013
02053,106132.0,2013
02054,91341.0,2013
02056,134104.0,2013
02061,113944.0,2013
02062,75957.0,2013
02066,100833.0,2013
02067,125313.0,2013
02071,97813.0,2013
02072,74262.0,2013
02081,93416.0,2013
02090,128984.0,2013
02093,100574.0,2013
02108,96921.0,2013
02109,119196.0,2013
02110,111250.0,2013
02111,43551.0,2013
02113,66636.0,2013
02114,80500.0,2013
02115,27134.0,2013
02116,87653.0,2013
02118,54152.0,2013
02119,27180.0,2013
02120,35077.0,2013
02121,28238.0,2013
02122,50192.0,2013
02124,48841.0,2013
02125,45130.0,2013
02126,45238.0,2013
02127,68724.0,2013
02128,48704.0,2013
02129,86346.0,2013
02130,75730.0,2013
02131,66735.0,2013
02132,83360.0,2013
02134,37820.0,2013
02135,48687.0,2013
02136,58890.0,2013
02138,75446.0,2013
02139,71745.0,2013
02140,71908.0,2013
02141,64326.0,2013
02142,100114.0,2013
02143,68440.0,2013
02144,78380.0,2013
02145,55487.0,2013
02148,53798.0,2013
02149,49368.0,2013
02150,47291.0,2013
02151,51863.0,2013
02152,64548.0,2013
02155,73567.0,2013
02163,43989.0,2013
02169,58669.0,2013
02170,66917.0,2013
02171,64812.0,2013
02176,85704.0,2013
02180,76127.0,2013
02184,81844.0,2013
02186,111071.0,2013
02188,68366.0,2013
02189,60059.0,2013
02190,77329.0,2013
02191,65365.0,2013
02199,109716.0,2013
02210,110333.0,2013
02215,35659.0,2013
02301,44144.0,2013
02302,61060.0,2013
02322,73194.0,2013
02324,87015.0,2013
02330,72161.0,2013
02332,118272.0,2013
02333,85912.0,2013
02338,67760.0,2013
02339,99250.0,2013
02341,92560.0,2013
02343,62292.0,2013
02346,77607.0,2013
02347,87900.0,2013
02351,78395.0,2013
02356,100429.0,2013
02359,86887.0,2013
02360,76565.0,2013
02364,82661.0,2013
02367,93563.0,2013
02368,62152.0,2013
02370,66329.0,2013
02375,86689.0,2013
02379,80347.0,2013
02382,72462.0,2013
02420,147924.0,2013
02421,136250.0,2013
02445,102087.0,2013
02446,78814.0,2013
02451,81334.0,2013
02452,78349.0,2013
02453,67382.0,2013
02458,95216.0,2013
02459,133801.0,2013
02460,102276.0,2013
02461,122283.0,2013
02462,83438.0,2013
02464,81771.0,2013
02465,139763.0,2013
02466,105893.0,2013
02467,115493.0,2013
02468,201731.0,2013
02472,87775.0,2013
02474,87225.0,2013
02476,95305.0,2013
02478,110633.0,2013
02481,180607.0,2013
02482,135089.0,2013
02492,137839.0,2013
02493,192563.0,2013
02494,104543.0,2013
02532,59250.0,2013
02534,96053.0,2013
02535,67500.0,2013
02536,61063.0,2013
02537,79180.0,2013
02538,48402.0,2013
02539,66711.0,2013
02540,59858.0,2013
02542,45107.0,2013
02543,66250.0,2013
02553,53125.0,2013
02554,85835.0,2013
02556,77661.0,2013
02557,69844.0,2013
02558,49121.0,2013
02559,59489.0,2013
02561,73750.0,2013
02562,62778.0,2013
02563,79578.0,2013
02564,59412.0,2013
02568,48935.0,2013
02571,56250.0,2013
02575,70963.0,2013
02576,79760.0,2013
02601,39454.0,2013
02630,61250.0,2013
02631,61397.0,2013
02632,67422.0,2013
02633,66516.0,2013
02635,78583.0,2013
02638,58750.0,2013
02639,46510.0,2013
02641,128576.0,2013
02642,58056.0,2013
02644,90540.0,2013
02645,62835.0,2013
02646,66771.0,2013
02647,146705.0,2013
02648,68260.0,2013
02649,63657.0,2013
02650,66932.0,2013
02652,52639.0,2013
02653,59938.0,2013
02655,72546.0,2013
02657,41140.0,2013
02659,51033.0,2013
02660,49024.0,2013
02663,21912.0,2013
02664,47873.0,2013
02666,61477.0,2013
02667,51908.0,2013
02668,80296.0,2013
02669,100109.0,2013
02670,49871.0,2013
02671,45769.0,2013
02672,205324.0,2013
02673,55204.0,2013
02675,61365.0,2013
02702,89833.0,2013
02703,67039.0,2013
02713,38333.0,2013
