Zip Code,Median Income,Year
69001,41386.0,2017
69020,51250.0,2017
69043,44844.0,2017
69123,57222.0,2017
69127,56875.0,2017
69138,59113.0,2017
69140,61250.0,2017
69149,60893.0,2017
69154,45469.0,2017
69169,62917.0,2017
69219,93500.0,2017
69022,49583.0,2017
69026,27083.0,2017
69044,32115.0,2017
69045,49318.0,2017
69121,39375.0,2017
69130,44385.0,2017
69148,62813.0,2017
69150,36667.0,2017
69170,42857.0,2017
69218,51125.0,2017
69333,55000.0,2017
69341,54659.0,2017
69348,59115.0,2017
69201,54958.0,2017
69210,44556.0,2017
69220,79000.0,2017
69335,21250.0,2017
69346,43438.0,2017
69352,55268.0,2017
69357,48995.0,2017
69163,53750.0,2017
69131,58438.0,2017
69151,61974.0,2017
69153,40313.0,2017
69343,36063.0,2017
69358,51555.0,2017
69361,43781.0,2017
69032,37212.0,2017
69033,57386.0,2017
69038,54167.0,2017
69041,40227.0,2017
69046,50833.0,2017
69120,52578.0,2017
69129,55048.0,2017
69146,31835.0,2017
69037,28750.0,2017
69040,41364.0,2017
69122,52500.0,2017
69141,45000.0,2017
69152,43500.0,2017
69166,58036.0,2017
69212,33750.0,2017
69301,55750.0,2017
69336,44821.0,2017
69025,50063.0,2017
69125,37708.0,2017
69145,43650.0,2017
69167,60268.0,2017
69211,27018.0,2017
69334,45362.0,2017
69347,52557.0,2017
69367,47500.0,2017
69356,44375.0,2017
69165,68807.0,2017
69042,46417.0,2017
69101,54311.0,2017
69133,39107.0,2017
69134,62386.0,2017
69039,64167.0,2017
69147,38603.0,2017
69340,72813.0,2017
69023,40938.0,2017
69029,57955.0,2017
69021,45375.0,2017
69024,51786.0,2017
69028,59375.0,2017
69143,61719.0,2017
69155,60179.0,2017
69161,23333.0,2017
69162,60488.0,2017
69168,58359.0,2017
69214,39167.0,2017
69216,42500.0,2017
69030,45000.0,2017
69221,60357.0,2017
71827,35500.0,2017
71752,33864.0,2017
71764,34764.0,2017
64850,42015.0,2017
64776,33565.0,2017
64778,35972.0,2017
64832,49352.0,2017
64859,59091.0,2017
